id,sale_date,region,product_category,product_name,quantity,price,revenue,customer_id,payment_method,discount,extra_attributes
9823731,2024-10-26,СПб,Продукты,Товар_4941,1,99433.00,19308.47,79986,QR-код,7.96,
2546851,2023-11-30,Ростов-на-Дону,Электроника,Товар_4882,4,4695.22,297867.88,983452,Наличные,3.50,
3924184,2026-01-31,Самара,Мебель,Товар_431,5,45767.37,82384.72,386344,QR-код,17.77,
8779250,2023-06-22,Самара,Продукты,Товар_527,3,82687.41,62738.12,124760,QR-код,7.03,"{""city_tier"": 2, ""campaign_id"": 61, ""device_type"": ""desktop"", ""return_rate"": 5.51, ""extra_field1"": ""value_462"", ""extra_field2"": 1957, ""loyalty_tier"": ""gold"", ""customer_segment"": ""economy""}"
6724900,2025-02-08,Красноярск,Бытовая техника,Товар_2246,2,64532.46,11568.16,809313,Наличные,29.58,"{""city_tier"": 1, ""campaign_id"": 19, ""device_type"": ""tablet"", ""return_rate"": 1.71, ""extra_field1"": ""value_898"", ""extra_field2"": 5269, ""loyalty_tier"": ""silver"", ""customer_segment"": ""standard""}"
2782508,2025-06-10,Екатеринбург,Мебель,Товар_392,1,55515.26,95583.56,795084,Наличные,10.88,
8219077,2026-02-25,Красноярск,Книги,Товар_4620,3,55584.47,3310.27,274289,Наличные,2.69,
2762123,2025-11-14,Самара,Мебель,Товар_467,3,65712.94,97786.34,567967,Карта,28.80,
6424596,2023-06-25,Ростов-на-Дону,Игрушки,Товар_3860,3,45015.28,71534.09,395941,Наличные,26.29,
3994915,2025-02-02,Самара,Одежда,Товар_2722,4,9059.91,249619.68,921073,Наличные,1.41,
7846967,2023-08-14,Новосибирск,Спорт,Товар_893,2,39753.22,387001.29,250139,QR-код,14.66,
10345117,2023-06-11,Нижний Новгород,Продукты,Товар_862,3,43444.11,6281.58,874568,Карта,14.60,
6980187,2025-03-23,Москва,Мебель,Товар_1885,3,89669.40,56590.01,447637,Перевод,23.16,
8595847,2025-06-28,Красноярск,Мебель,Товар_3569,1,89472.97,84462.33,814317,QR-код,28.77,
1052008,2024-03-28,Уфа,Книги,Товар_4128,2,62913.77,62316.45,586152,Перевод,4.44,
2475049,2024-04-11,Самара,Аксессуары,Товар_4331,3,51679.64,146329.21,936800,QR-код,29.44,
5847929,2024-09-28,СПб,Одежда,Товар_909,2,59950.21,174984.40,178533,Карта,29.18,
1215874,2024-07-06,Новосибирск,Бытовая техника,Товар_2249,5,25565.34,31702.93,151197,Перевод,16.90,
5390722,2024-03-15,Нижний Новгород,Электроника,Товар_490,3,28457.30,219247.46,735242,QR-код,14.37,
8247223,2025-02-17,Москва,Одежда,Товар_2471,1,98002.28,171130.61,152181,QR-код,26.93,
6809451,2024-05-30,Уфа,Игрушки,Товар_723,3,17987.08,3071.81,399307,QR-код,5.13,
2682813,2025-05-08,Новосибирск,Игрушки,Товар_3608,1,97165.57,72619.00,852534,Наличные,14.24,
7333320,2024-09-27,Уфа,Игрушки,Товар_1715,2,88208.57,158218.60,817915,QR-код,4.64,"{""city_tier"": 1, ""campaign_id"": 56, ""device_type"": ""desktop"", ""return_rate"": 9.95, ""extra_field1"": ""value_336"", ""extra_field2"": 1512, ""loyalty_tier"": ""gold"", ""customer_segment"": ""economy""}"
6488317,2024-09-27,Москва,Одежда,Товар_2124,3,88831.16,47081.82,270527,Карта,19.34,
8835169,2024-09-15,СПб,Одежда,Товар_2615,2,5260.29,92598.25,472814,Перевод,26.17,
6897257,2024-12-10,Ростов-на-Дону,Электроника,Товар_2533,5,23137.16,134589.51,871963,QR-код,2.02,
8824876,2023-10-31,Нижний Новгород,Бытовая техника,Товар_1460,1,24700.12,239756.42,92795,QR-код,19.88,
9797940,2025-11-11,Екатеринбург,Игрушки,Товар_3768,4,76507.02,73181.36,421241,QR-код,26.13,"{""city_tier"": 1, ""campaign_id"": 29, ""device_type"": ""mobile"", ""return_rate"": 2.35, ""extra_field1"": ""value_87"", ""extra_field2"": 7789, ""loyalty_tier"": ""silver"", ""customer_segment"": ""standard""}"
1545615,2024-06-30,Казань,Электроника,Товар_2107,3,84170.90,283975.33,157278,Наличные,4.90,
6196349,2024-09-30,Ростов-на-Дону,Продукты,Товар_4153,3,11048.49,158885.25,825224,Перевод,10.88,
7722654,2024-01-13,Самара,Электроника,Товар_1429,5,78812.82,163614.19,44406,QR-код,3.14,
7374671,2025-05-23,Екатеринбург,Книги,Товар_1101,5,1701.55,106563.62,498408,QR-код,7.56,
6684362,2023-09-21,Казань,Косметика,Товар_4787,4,91895.40,99190.00,68490,Перевод,12.79,
1775440,2023-05-27,Красноярск,Продукты,Товар_1440,4,87653.92,393818.09,888968,Карта,10.58,"{""city_tier"": 2, ""campaign_id"": 4, ""device_type"": ""desktop"", ""return_rate"": 2.85, ""extra_field1"": ""value_173"", ""extra_field2"": 1706, ""loyalty_tier"": ""silver"", ""customer_segment"": ""economy""}"
3263100,2025-10-23,Красноярск,Одежда,Товар_4060,2,74397.82,5310.83,131449,QR-код,3.47,"{""city_tier"": 2, ""campaign_id"": 58, ""device_type"": ""tablet"", ""return_rate"": 3.79, ""extra_field1"": ""value_818"", ""extra_field2"": 6602, ""loyalty_tier"": ""bronze"", ""customer_segment"": ""economy""}"
3415473,2023-07-04,Красноярск,Продукты,Товар_2849,3,28539.66,75650.90,759517,Перевод,14.94,
6056303,2023-10-11,Самара,Книги,Товар_4163,1,10006.55,204049.45,878558,Карта,23.75,
2362896,2025-12-11,Ростов-на-Дону,Мебель,Товар_1802,2,18859.34,183729.79,964347,Наличные,17.16,
8817964,2023-05-01,Новосибирск,Электроника,Товар_458,4,75993.63,38548.84,10719,Карта,20.14,
4504609,2024-08-31,Нижний Новгород,Мебель,Товар_364,4,97694.54,17950.31,193979,QR-код,19.03,
6992054,2025-11-02,Екатеринбург,Книги,Товар_2776,4,68498.06,190026.26,379061,Наличные,0.09,
9846419,2025-10-17,Красноярск,Продукты,Товар_3866,1,46952.63,27997.40,560500,Наличные,29.63,
10498334,2025-07-03,Москва,Аксессуары,Товар_529,1,90551.08,207393.57,445162,Карта,3.48,
3462776,2025-10-18,Нижний Новгород,Аксессуары,Товар_2007,2,36763.61,409813.68,620462,QR-код,2.34,
10249069,2024-09-03,Самара,Спорт,Товар_1478,1,32146.14,160668.88,455767,Наличные,17.94,
8451408,2024-01-03,СПб,Книги,Товар_3038,2,60327.53,7771.67,478624,Наличные,22.96,
4982750,2024-10-04,СПб,Книги,Товар_3453,3,10141.69,282135.93,37439,Карта,29.98,"{""city_tier"": 1, ""campaign_id"": 26, ""device_type"": ""mobile"", ""return_rate"": 7.29, ""extra_field1"": ""value_41"", ""extra_field2"": 2218, ""loyalty_tier"": ""gold"", ""customer_segment"": ""economy""}"
9003076,2024-06-01,Казань,Одежда,Товар_4705,1,22222.59,44015.90,283465,QR-код,6.06,
5593702,2025-01-15,Казань,Бытовая техника,Товар_2052,4,66077.02,191272.40,122182,Перевод,2.51,
